item_nr,word,pseudoword,word_ZipfSUBTLEX,word_fpmwSUBTLEX,word_len,pseudoword_statistics_overlap_ratio,pseudoword_statistics_plain_length,pseudoword_statistics_lexicality,pseudoword_statistics_ned1,pseudoword_statistics_old20,pseudoword_statistics_overlap,pseudoword_statistics_transition_frequencies_0,pseudoword_statistics_transition_frequencies_1,pseudoword_statistics_transition_frequencies_2,pseudoword_statistics_transition_frequencies_3,pseudoword_statistics_transition_frequencies_4,pseudoword_statistics_transition_frequencies_5,pseudoword_statistics_transition_frequencies_6,pseudoword_difference_statistics_plain_length,pseudoword_difference_statistics_ned1,pseudoword_difference_statistics_old20,pseudoword_difference_statistics_transition_frequencies_0,pseudoword_difference_statistics_transition_frequencies_1,pseudoword_difference_statistics_transition_frequencies_2,pseudoword_difference_statistics_transition_frequencies_3,pseudoword_difference_statistics_transition_frequencies_4,pseudoword_difference_statistics_transition_frequencies_5,pseudoword_difference_statistics_transition_frequencies_6
72,berauschten,begeichsten,1.9,0.07943282347242814,11,2/3,9,N,0,2.95,6,4728,3808,8888,1911,61,5,8,21421,18662,19387,0,-6,1.35,0,0,0,"-283,-108,-40,-158,0,0,0"
73,beschämen,besprofen,2.85,0.707945784384138,9,2/3,7,N,0,2.85,6,4728,3808,8888,181,14,2934,1538,3092,18662,19387,0,-5,1.2000000000000002,0,0,0,"-678,-176,1017,276,457,0,0"
74,bewachten,behockten,2.85,0.707945784384138,9,2/3,7,N,0,2.35,6,4728,3808,8888,1419,378,103,706,21421,18662,19387,0,-7,0.8,0,0,0,"130,-445,-527,-936,0,0,0"
75,deinem,Neimem,5.5,316.22776601683796,6,2/3,4,N,0,2,4,360,8,1513,696,1166,545,696,0,-10,0.6000000000000001,-90,-7,0,18,30,0,0
76,doch,dogt,6.39,2454.7089156850284,4,2/3,2,N,7,1.65,2,77,8,9,65,0,-2,0.19999999999999996,0,0,-2,1,NA,NA,NA,NA,NA,NA
77,dunkle,bumsge,4.15,14.125375446227554,6,2/3,4,N,2,2.25,4,4,4,6400,1101,1663,5346,8061,0,-4,0.6499999999999999,-1,-1,0,87,-182,0,0
78,durchquerten,Durchszelten,2.5,0.31622776601683794,12,2/3,10,N,0,3.85,6,77,77,15162,9,9,2743,2397,21421,18662,19387,0,-3,1.5500000000000005,-1176,-1176,0,"-50,-92,-2475,-805,0,0,0"
79,einfachsten,einpellsten,3.45,2.818382931264455,11,2/3,9,N,0,2.95,6,22605,2949,3374,103,628,172,147,7293,18662,19387,0,-5,0.9500000000000002,0,0,0,"-263,-341,-458,-444,0,0,0"
80,eintreffe,einspipfe,2.44,0.2754228703338166,9,2/3,7,N,0,2.85,6,22605,2949,3374,157,124,111,378,3092,18486,21748,0,-3,0.75,0,0,0,"-119,-162,33,-142,0,0,0"
81,endgültig,emptöltig,3.99,9.772372209558112,9,2/3,7,N,0,4.45,6,22605,4031,45,14,82,177,2397,805,991,1129,0,-1,1.4500000000000002,0,0,2,"-12,11,6,0,0,0,0"
82,entgegenkommende,itzgegerfonwende,1.9,0.07943282347242814,16,2/3,14,N,0,8,12,3346,697,1,1,938,2094,509,830,1043,46,19,33,19,60,440,341,"431,2876,3196,0,-5,5.3,0,122,-91,-48,0,0,0,0,-31,24,-19,1,-30,-111,0,0,0,0,0"
83,entschärft,entschühmt,3.34,2.1877616239495516,10,2/3,8,N,0,3.6,4,5655,1102,347,4,17,2,82,0,-4,1.5,0,0,0,0,-16,-3,-6
84,ergiebigen,erdaukegen,1.9,0.07943282347242814,10,2/3,8,N,0,3.85,8,17115,2790,6215,436,56,709,977,773,14745,8676,9611,21646,22249,0,-4,1.7000000000000002,"0,0,0,-66,-74,-276,-576,102,1622,0,0,0,0"
85,erschrickt,erschwillt,3.34,2.1877616239495516,10,2/3,8,N,0,2.65,4,5655,1102,2533,38,43,12,194,0,-2,0.5,0,0,0,1,-7,-40,-39
86,erziehst,erweihst,2.2,0.15848931924611143,8,2/3,6,N,2,1.9,4,5655,1102,2533,159,102,11,186,0,-5,0.34999999999999987,0,0,0,-35,-13,-38,0
87,ferneren,Cermelen,1.9,0.07943282347242814,8,2/3,6,N,0,2.9,6,23,7,9968,631,968,10725,2728,4393,18662,19387,0,-5,1.25,-1635,-512,0,"318,126,0,-3219,-1503,0,0"
88,festzumachen,Hahnzusachen,2.5,0.31622776601683794,12,2/3,10,N,0,3.75,8,782,162,56,1,2815,7846,1982,694,5183,3535,3671,21646,22249,0,0,1.1,"-481,-141,-94,-24,0,0,405,18,0,0,0,0,0"
