item_nr,condition,text,corr_ans,is_practice_trial,snd,ZipfSUBTLEX,word_len
116,pseudoword,schwagrigen,lalt,FALSE,0.5606585144996643,NA,11
117,word,schwindelte,ralt,FALSE,0.6509272456169128,1.9,11
117,pseudoword,schrordelte,lalt,FALSE,0.5026658415794373,NA,11
118,word,schönste,ralt,FALSE,0.7912241220474243,4.22,8
118,pseudoword,schirste,lalt,FALSE,0.5404903650283813,NA,8
119,word,schüchternste,ralt,FALSE,0.5958449840545654,1.9,13
119,pseudoword,Schöchteckste,lalt,FALSE,0.493256676197052,NA,13
120,word,siegle,ralt,FALSE,0.5170119285583497,1.9,6
120,pseudoword,seifle,lalt,FALSE,0.516792643070221,NA,6
121,word,sogleich,ralt,FALSE,0.7475100636482239,2.94,8
121,pseudoword,sopfeibt,lalt,FALSE,0.5913555145263671,NA,8
122,word,spuckten,ralt,FALSE,0.6811973214149475,2.44,8
122,pseudoword,Spruntet,lalt,FALSE,0.5048709988594056,NA,8
123,word,strammen,ralt,FALSE,0.6576285123825073,2.6,8
123,pseudoword,Sprommen,lalt,FALSE,0.549302339553833,NA,8
124,word,sympathisierst,ralt,FALSE,0.5838706493377686,2.2,14
124,pseudoword,nippakrisierst,lalt,FALSE,0.4346457600593567,NA,14
125,word,telepathischen,ralt,FALSE,0.7471150755882263,2.29,14
125,pseudoword,Sevewoknischen,lalt,FALSE,0.5932358503341675,NA,14
126,word,undurchdringbar,ralt,FALSE,0.6526890397071838,2.37,15
126,pseudoword,untrunkspahmbar,lalt,FALSE,0.4954731583595276,NA,15
127,word,ungesetzlich,ralt,FALSE,0.5560020923614502,2.83,12
127,pseudoword,ungesegthent,lalt,FALSE,0.4521971642971039,NA,12
128,word,verantwortungsvollen,ralt,FALSE,0.726779329776764,2.2,20
128,pseudoword,veragsweugungsßillen,lalt,FALSE,0.5609474182128906,NA,20
129,word,vergeltet,ralt,FALSE,0.6103858351707458,2.07,9
129,pseudoword,verligtet,lalt,FALSE,0.5021545231342316,NA,9
130,word,verkürzen,ralt,FALSE,0.7128911733627319,3.01,9
130,pseudoword,vertolzen,lalt,FALSE,0.5054497003555298,NA,9
131,word,verschmutzen,ralt,FALSE,0.7077298879623413,2.74,12
131,pseudoword,berschlußven,lalt,FALSE,0.6132631778717041,NA,12
132,word,versteigere,ralt,FALSE,0.6424136757850647,1.9,11
132,pseudoword,berfrietere,lalt,FALSE,0.4488808691501618,NA,11
133,word,verzeichnet,ralt,FALSE,0.700290322303772,3.19,11
133,pseudoword,verteilsket,lalt,FALSE,0.5190630435943604,NA,11
134,word,verzieren,ralt,FALSE,0.7263221740722656,2.5,9
134,pseudoword,verkauben,lalt,FALSE,0.5819591879844666,NA,9
135,word,vorschriftswidrig,ralt,FALSE,0.6031697750091553,2.2,17
135,pseudoword,vorschrenntgadrig,lalt,FALSE,0.5339742183685303,NA,17
136,word,wahnsinnig,ralt,FALSE,0.8447704553604126,4.55,10
136,pseudoword,wondrinnig,lalt,FALSE,0.47231540083885193,NA,10
137,word,wegkomme,ralt,FALSE,0.6856961488723755,2.85,8
137,pseudoword,weutamme,lalt,FALSE,0.444938063621521,NA,8
138,word,wissenschaftlicheren,ralt,FALSE,0.7608551263809205,2.07,20
138,pseudoword,mempenschelllicheren,lalt,FALSE,0.4630420446395874,NA,20
139,word,wunderbaren,ralt,FALSE,0.8764614582061767,3.87,11
139,pseudoword,Vuljerwagen,lalt,FALSE,0.5847259998321533,NA,11
140,word,wundersamer,ralt,FALSE,0.6839778542518615,2.29,11
140,pseudoword,Austerbafer,lalt,FALSE,0.6162723541259766,NA,11
141,word,wunderschöne,ralt,FALSE,0.8831500768661499,4.16,12
141,pseudoword,pulderstrüse,lalt,FALSE,0.5515037536621094,NA,12
142,word,zackiger,ralt,FALSE,0.6673189282417298,2.2,8
142,pseudoword,zürgiger,lalt,FALSE,0.6080680251121521,NA,8
143,word,zerrinnen,ralt,FALSE,0.6125055313110351,1.9,9
143,pseudoword,zerfanken,lalt,FALSE,0.5328117251396179,NA,9
144,word,zeugt,ralt,FALSE,0.6530933737754822,3.3,5
144,pseudoword,zeggt,lalt,FALSE,0.5036875903606415,NA,5
145,word,zuflüstern,ralt,FALSE,0.7208457350730896,2.64,10
145,pseudoword,umdröstern,lalt,FALSE,0.484966379404068,NA,10
146,word,zurechtgebogen,ralt,FALSE,0.6257972240447998,2.07,14
146,pseudoword,zunandsgewägen,lalt,FALSE,0.39370712637901306,NA,14
147,word,zurückgeschreckt,ralt,FALSE,0.6647301554679871,1.9,16
147,pseudoword,zurichgeschrafst,lalt,FALSE,0.4287634909152985,NA,16
148,word,überbelegt,ralt,FALSE,0.6246822118759155,2.2,10
148,pseudoword,iberfenerb,lalt,FALSE,0.46733726263046266,NA,10
149,word,überlebensgroße,ralt,FALSE,0.7568407416343689,1.9,15
149,pseudoword,überlefätsglave,lalt,FALSE,0.6315053939819336,NA,15
150,word,überlisten,ralt,FALSE,0.6474395871162415,3.33,10
150,pseudoword,otertesten,lalt,FALSE,0.6183059096336365,NA,10
